Hospital Name,State,City/Area,Address
Eko Hospital,Lagos,Ikeja,"31 Mobolaji Bank Anthony Way, Ikeja"
Motayo Hospital Ltd,Lagos,Ikeja,"3 Owodunni Street, Off Amore Street, Off Toyin, Ikeja"
Ikeja Medical Centre,Lagos,Ikeja,"11 Ogunmodede Street, Allen Avenue, Ikeja"
Duro Soleye Hospital Ikeja,Lagos,Ikeja,"34 Allen Avenue, Ikeja"
Shoreman Hospital,Lagos,Ikeja,"31 Olowu Street, Ikeja"
445 Nigerian Airforce Hospital,Lagos,Ikeja,"Sam Ethnam Airforce Base, Ikeja"
Newgate Hospital Ltd Ojodu,Lagos,Ojodu,"84 Ogunnusi Road, Ojodu"
Solid Rock Hospital,Lagos,Ojodu,"6 Akinsanya Street, Off Ogunnusi Road, Ojodu"
Alheri Hospital Ojodu,Lagos,Ojodu,"10 Ojodu Abiodun Road, Ojodu Berger"
Royan Hospital,Lagos,Ojodu,"72 Aina Street, Ojodu, Ikeja"
Isalu Hospital,Lagos,Ogba,"349b Odusami Street, Off Wempco Road, Ogba"
Medwin Hospital,Lagos,Ogba,"8 Ologun Street, Off Ajayi Road, Oke-Ira, Ogba"
Blue Cross Hospital,Lagos,Ogba,"6 Ijaiye Road, By Ogba Bus Stop, Ogba"
Queens Specialist Hospital,Lagos,Magodo,"3B C.M.D. Road, Magodo"
Fortress Health Consultants,Lagos,Magodo,"No 8 Kasunmu Street, Shangisha-Magodo"
Nimbus Medical Hospital,Lagos,Ogudu,"4 Kola Iyaomolere Street, Off Agbonyi Road, Ogudu"
Ameso Specialist Hospital,Lagos,Ogudu,"7 Jumat Olukoya Street, Ogudu, Ojota"
De-Vine Hospital,Lagos,Oregun,"8 Lawal Street, Off Oregun Bus Stop, Oregun"
Deji Clinic,Lagos,Ketu,"5 Doyin Omololu Street, Off Mr Biggs Junction, Alapere, Ketu"
Delta Crown Hospital & Maternity,Lagos,Ketu,"14 Ajayi Street, Ketu"
Theo Hospital,Lagos,Ketu,"25 Davies Street, Ketu"
Yombo Hospital & Maternity,Lagos,Ketu,"23 Oluyombo Street, Ikosi, Ketu"
Comfort Clinic & Maternity,Lagos,Ibafo,"3 Ganiyu Ayinla Street, Ibafo"
Beach Land Specialist Hospital,Lagos,Arepo,"16 Al-Firdaus Estate, Arepo"
Real Cure Hospital,Lagos,Mowe,"119 Mowe-Ofada Road, Mowe"
Broadland Hospital,Lagos,Magboro,"Along Gasline Magboro Road, Magboro"
Redeemers Healthcare,Lagos,Mowe,"RCCG Redemption Camp, Lagos-Ibadan Expressway, Mowe"
May Clinics,Lagos,Ilasamaja,"24/26 Sadiku Street, Ilasamaja"
Rivet Specialist Hospital,Lagos,Ilasamaja,"22 Adejumo Tennis Club Street, Ilasoma Area, Oke-Afa"
Mount Sinai Hospital Isolo,Lagos,Isolo,"32 Olanubi Street, Papa Ajao, Isolo"
High Rocks Hospital,Lagos,Oshodi,"38 Afariogun Street, Off Charity Bus Stop, Oshodi"
Geo-Medical Centre Ltd,Lagos,Sogunle,"12 Subairu Street, Ladipo Bus Stop, Sogunle"
Hillstar Hospital,Lagos,Mushin,"98 Palm Avenue, Mushin"
St. Raphael's Hospital,Lagos,Okota,"114 Lateef Adegboyega Street, Off Ago Okota Palace Way, Okota"
Kupa Medical Centre,Lagos,Ajao Estate,"6 Olabode Street, Ajao Estate"
Outreach Children's Hospital Okota,Lagos,Okota,"Cele Bus Stop, Isolo, Okota"
St. Emmanuel Hospital,Lagos,Isolo,"2 Bola Ademuyiwa Street, Behind Aswani Market, Isolo"
Mount Pisgah Hospital,Lagos,Egbe,"104 Isolo Road, Egbe"
Isolo General Hospital,Lagos,Isolo,"121 Mushin Road, Isolo"
Mount Sinai Hospital Egbe,Lagos,Egbe,"105 Isolo Road, Egbe"
Broad Hospital & Maternity,Lagos,Ikotun,"17 Fehintola Street, Off Isijola Street, Ikotun"
Westcare Specialist Hospital Ejigbo,Lagos,Ejigbo,"45 Omiyale Street, Falana, Iyana Ejigbo"
Subol Hospital,Lagos,Idimu,"17 Oba Amusa Avenue, Off Ikotun-Idimu Road, Idimu"
Alimosho General Hospital,Lagos,Igando,"LASU/Isheri Road, Igando"
St. Nicholas Hospital Lagos Island,Lagos,Lagos Island,"57 Campbell Street, Lagos Island"
The Health Arena Hospital,Lagos,Lagos Island,"12 Strachan Street, Off Igbosere Road, Lagos Island"
BMH Hospital,Lagos,Lagos Island,"48 Foresythe Street, Lagos Island"
Best Care Hospital,Lagos,Ikoyi,"2A Keffi Street, South West, Ikoyi"
Lagoon Hospital Ikoyi,Lagos,Ikoyi,"17B Bourdillon Road, Ikoyi"
Divine Medical Centre,Lagos,Ikoyi,"15 Norman Williams Street, S.W. Ikoyi"
Citizen Medical Centre Ikoyi,Lagos,Ikoyi,"86 Norman Williams Street, Ikoyi"
The Roding Medical Centre,Lagos,Victoria Island,"29B Olabode George Street, Off Ajose Adeogun Street, Victoria Island"
Healing Stripes Hospital,Lagos,Victoria Island,"6B Prince Alaba Oniru, Opposite Four Points by Sheraton, Oniru Estate"
Naval Dockyard Medical Centre,Lagos,Victoria Island,"Wilmot Point, Ahmadu Bello Way, Victoria Island"
The Victoria Island Consultancy and Hospital Services Ltd,Lagos,Victoria Island,"3B Fabac Close, Off Ligali Ayorinde Close, Victoria Island"
Germaine Medical Centre,Lagos,Lekki,"Km 63 Lagos-Epe Expressway, Lekki"
Udeco Medical Centre,Lagos,Lekki,"Plot 39 Udeco Medical Road, Off Chevron Drive, Lekki"
Primefort Hospital,Lagos,Lekki,"35C Ajiran Road, Agungi, Lekki Peninsula"
First City Hospital,Lagos,Lekki,"17 Bamidele Eletu Road, Osapa, Lekki Peninsula"
Louis Med Hospital,Lagos,Lekki,"Plot 8, Block 91, Iron Bar Street, Off Providence Street, Lekki Phase 1"
